Model,Make,count
516,Sig Sauer,1
601,nodak spud,1
8516,Ruger,1
A-15,ar15,1
A-15,Ascend Armory,1
aa-0940,angstadt,1
AA-15,Adam Arms,1
AA-15,adams,1
AAR15,Alexander Arms,1
ACI-15,Andro Corp Industries,1
ake02,cncwarrior,1
AM-15,A nderson Mfg.,1
AM-15,Abderson,1
AM-15,AM-15,1
AM-15,Andereson,1
AM-15,ANDERSOIN,1
AM-15,andersom manufacturing,1
AM-15,Anderson Manfacturing,1
AM-15,ANDERSON MANUFACTING,1
AM-15,anderson manufaction,1
AM-15,anderson manufactuing,1
AM-15,ANDERSON MANUFACTURE,1
AM-15,Anderson Manufactureing,1
AM-15,Anderson Manufacturin,1
AM-15,anderson manufacturinf,1
AM-15,Anderson Manufacuring,1
AM-15,Anderson Maufacturig,1
AM-15,Anderson MFG CO,1
AM-15,Andreson,1
AM-15,Andreson Manufacturing,1
AM-15,Anerson,1
AM-15,Anerson MFG,1
AM-15,DPMS,1
AM-15,Spikes Tactical,1
AM-15 LOWER ONLY,Anderson,1
AM-15 LPK,Anderson MFG,1
AM-15 STRIPPED LOWER,Anderson,1
AM-16,Anderson,1
AM15 stripped receiver,Anderson,1
AM15-BLACKOUT,Anderson,1
Am1t,Anderson Manufacturing,1
Anderson Manufacturing,Anderson Manufacturing,1
apf,alex pro,1
ar 15,Aero Precision,1
AR 15 A3,Anderson,1
ar multi,Aero Precision,1
AR-10,ArmaLite,1
AR-15,ADCOR,1
AR-15,Aero,1
AR-15,American Tactical,1
AR-15,anderson arms,1
AR-15,Anderson MFG,1
AR-15,AR 57,1
AR-15,ar fifteen,1
AR-15,Areo Precision,1
AR-15,ATI,1
AR-15,DELAWARE MACHINERY,1
AR-15,delphi,1
AR-15,noveske,1
AR-15,Palmetto State Armory,1
AR-15,savage,1
AR-15,Wilson Cobat,1
ar-15A2,Colt,1
AR-556,Strum Ruger,1
AR-556,"Sturm, Ruger & Co",1
AR-556 Lower,Ruger,1
AR-556-LR,Ruger,1
AR1-Extreme,FMK,1
AR15 Billet,MEGA,1
AR15 Lower,Aero Precision,1
AR15 Lower,Anderson,1
AR15 Lower,Palmetto Armory,1
AR15-A3 Pistol,Anderson Manufacturing,1
AR15-A3-LWFOR-UM,anderson arms,1
AR15-A3-LWFOR-UM,Anderson MFG,1
